epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,491.732,0.3622,3.07865,0.19038,0.27956,0.9577,0.9949,1,0.995,0.97713,0.98069,0.98571,0.97819,0.42087,0.28037,2.35226,0.08255,0.20026,0.82486,0.0004754,0.0004754,0.0004754
79,497.81,0.35741,2.9426,0.19249,0.27507,0.95076,0.99487,1,0.99495,0.97095,0.97592,0.98095,0.9828,0.44783,0.27635,2.30313,0.06845,0.198,0.82209,0.0004556,0.0004556,0.0004556
80,503.902,0.36159,2.99916,0.19187,0.27566,0.96117,0.99484,1,0.995,0.98089,0.97115,0.97619,0.9694,0.44774,0.26684,2.3108,0.07218,0.19063,0.81239,0.0004358,0.0004358,0.0004358
81,510.062,0.35197,3.01063,0.18884,0.27503,0.95479,0.99492,1,0.99495,0.97841,0.98071,0.98571,0.97901,0.46012,0.26357,2.23646,0.08134,0.18819,0.81437,0.000416,0.000416,0.000416
82,516.159,0.35509,2.9285,0.1952,0.27349,0.96161,0.99495,1,0.99495,0.98132,0.96177,0.96667,0.95912,0.47893,0.27102,2.24125,0.0771,0.19334,0.81259,0.0003962,0.0003962,0.0003962
83,522.262,0.34503,2.88292,0.18775,0.26485,0.95378,0.99487,1,0.99495,0.97864,0.97119,0.97619,0.97542,0.48222,0.26002,2.18945,0.072,0.18887,0.80956,0.0003764,0.0003764,0.0003764
84,528.358,0.34973,2.87368,0.18865,0.26859,0.95982,0.99482,1,0.995,0.98234,0.96166,0.96667,0.9544,0.45148,0.2549,2.20891,0.06747,0.18591,0.80573,0.0003566,0.0003566,0.0003566
85,534.398,0.34913,2.91999,0.19291,0.27135,0.95299,0.99496,1,0.99495,0.98136,0.97127,0.97619,0.96783,0.45615,0.26739,2.17237,0.07318,0.18846,0.81407,0.0003368,0.0003368,0.0003368
86,540.519,0.34516,2.82392,0.18669,0.26285,0.9509,0.99489,1,0.995,0.9828,0.96173,0.96667,0.96642,0.49355,0.25998,2.1662,0.07496,0.18696,0.80962,0.000317,0.000317,0.000317
87,546.618,0.33829,2.80428,0.18964,0.27408,0.94771,0.99491,1,0.99495,0.98214,0.95227,0.95714,0.95194,0.48172,0.25271,2.14166,0.0706,0.18146,0.80762,0.0002972,0.0002972,0.0002972
88,552.624,0.33853,2.7665,0.18751,0.26193,0.9481,0.9949,1,0.99495,0.98386,0.9712,0.97619,0.97378,0.49067,0.25317,2.08148,0.07345,0.17996,0.80341,0.0002774,0.0002774,0.0002774
89,558.637,0.33394,2.7286,0.18632,0.25907,0.94318,0.99493,1,0.99495,0.98508,0.97124,0.97619,0.97099,0.50059,0.25248,2.02523,0.07164,0.17935,0.80504,0.0002576,0.0002576,0.0002576
90,564.737,0.34107,2.66958,0.18775,0.25964,0.94647,0.99496,1,0.99495,0.98183,0.96653,0.97143,0.96632,0.50075,0.25306,1.98169,0.07439,0.18209,0.80532,0.0002378,0.0002378,0.0002378
91,571.369,0.23207,1.98894,0.11598,0.18587,0.8666,0.99498,1,0.99495,0.98477,0.96655,0.97143,0.96198,0.50279,0.25123,1.96515,0.05889,0.18222,0.80537,0.000218,0.000218,0.000218
92,577.388,0.22422,1.84234,0.11245,0.17828,0.86291,0.9951,1,0.99495,0.9804,0.96666,0.97143,0.96841,0.51874,0.24859,1.92059,0.05858,0.17992,0.80188,0.0001982,0.0001982,0.0001982
93,583.449,0.221,1.79327,0.11127,0.17476,0.86239,0.995,1,0.99495,0.98403,0.96656,0.97143,0.96673,0.52782,0.24654,1.87829,0.05406,0.17364,0.79685,0.0001784,0.0001784,0.0001784
94,589.51,0.21531,1.73399,0.1051,0.17133,0.85696,0.99495,1,0.99495,0.98571,0.96652,0.97143,0.96636,0.55296,0.23756,1.78882,0.05217,0.16902,0.79404,0.0001586,0.0001586,0.0001586
95,595.523,0.21529,1.67535,0.10603,0.17492,0.85988,0.99496,1,0.99495,0.98493,0.96653,0.97143,0.96686,0.56531,0.2353,1.78079,0.05315,0.17292,0.79082,0.0001388,0.0001388,0.0001388
96,601.704,0.20474,1.62335,0.10293,0.16494,0.85106,0.99495,1,0.995,0.98521,0.97126,0.97619,0.97139,0.57947,0.23828,1.6793,0.05052,0.16874,0.79189,0.000119,0.000119,0.000119
97,607.753,0.20277,1.62132,0.11062,0.16772,0.84771,0.99496,1,0.99495,0.98699,0.97126,0.97619,0.96857,0.60105,0.23593,1.64617,0.05172,0.17222,0.78955,9.92e-05,9.92e-05,9.92e-05
98,613.794,0.20162,1.5618,0.10176,0.1624,0.85059,0.99501,1,0.99495,0.98609,0.97604,0.98095,0.97349,0.60658,0.22712,1.60761,0.05044,0.16928,0.78594,7.94e-05,7.94e-05,7.94e-05
99,619.818,0.19759,1.55924,0.09932,0.15855,0.8419,0.99496,1,0.99495,0.9842,0.97126,0.97619,0.96868,0.60924,0.22824,1.58851,0.05143,0.16737,0.78499,5.96e-05,5.96e-05,5.96e-05
100,625.949,0.19435,1.5132,0.10849,0.15885,0.84568,0.99497,1,0.99495,0.98413,0.97127,0.97619,0.96934,0.61468,0.22586,1.57119,0.05005,0.16632,0.78506,3.98e-05,3.98e-05,3.98e-05
